bug_id,num_hunks
Chart_2,2
Chart_4,2
Chart_14,4
Chart_15,2
Chart_16,2
Chart_18,3
Chart_19,2
Chart_21,3
Chart_22,4
Chart_25,6
Cli_1,10
Cli_7,2
Cli_10,2
Cli_13,3
Cli_14,2
Cli_16,6
Cli_18,3
Cli_21,6
Cli_22,7
Cli_23,2
Cli_26,2
Cli_30,2
Cli_31,3
Cli_33,2
Cli_34,2
Cli_36,3
Cli_39,2
Closure_3,3
Closure_4,2
Closure_6,3
Closure_9,2
Closure_16,2
Closure_21,2
Closure_24,2
Closure_25,2
Closure_26,3
Closure_27,3
Closure_29,3
Closure_30,4
Closure_32,4
Closure_34,3
Closure_37,2
Closure_39,2
Closure_41,2
Closure_43,3
Closure_45,3
Closure_47,2
Closure_49,3
Closure_50,2
Closure_51,2
Closure_53,2
Closure_54,3
Closure_60,2
Closure_64,2
Closure_68,3
Closure_72,2
Closure_74,2
Closure_75,2
Closure_76,4
Closure_79,2
Closure_80,2
Closure_84,3
Closure_85,3
Closure_89,2
Closure_90,2
Closure_98,3
Closure_99,2
Closure_100,2
Closure_103,2
Closure_105,2
Closure_106,2
Closure_108,4
Closure_110,6
Closure_115,2
Closure_116,2
Closure_117,2
Closure_134,6
Closure_135,3
Closure_136,2
Closure_137,10
Closure_138,3
Closure_139,4
Closure_140,3
Closure_141,3
Closure_142,3
Closure_143,2
Closure_144,9
Closure_147,2
Closure_148,16
Closure_149,7
Closure_151,3
Closure_153,12
Closure_154,6
Closure_155,7
Closure_156,7
Closure_157,7
Closure_158,11
Closure_160,2
Closure_162,6
Closure_163,18
Closure_164,2
Closure_165,10
Closure_167,6
Closure_169,21
Closure_171,2
Closure_173,2
Closure_174,7
Closure_175,4
Closure_176,3
Codec_1,3
Codec_6,3
Codec_8,2
Codec_11,7
Codec_12,2
Codec_13,3
Codec_14,5
Collections_25,3
Compress_2,6
Compress_3,4
Compress_4,4
Compress_6,2
Compress_9,2
Compress_10,2
Compress_11,2
Compress_20,6
Compress_22,7
Compress_29,14
Compress_33,3
Compress_34,2
Compress_35,2
Compress_39,2
Compress_40,3
Compress_42,2
Compress_43,4
Compress_47,3
Csv_7,2
Csv_8,2
Csv_13,2
Csv_16,4
Gson_1,2
Gson_3,2
Gson_4,12
Gson_7,2
Gson_8,5
Gson_9,3
Gson_14,2
JacksonCore_1,3
JacksonCore_2,8
JacksonCore_9,6
JacksonCore_10,2
JacksonCore_12,8
JacksonCore_16,3
JacksonCore_17,3
JacksonCore_18,4
JacksonCore_19,2
JacksonCore_21,2
JacksonCore_22,7
JacksonCore_24,4
JacksonDatabind_3,2
JacksonDatabind_4,4
JacksonDatabind_6,2
JacksonDatabind_8,2
JacksonDatabind_10,5
JacksonDatabind_13,2
JacksonDatabind_14,2
JacksonDatabind_15,11
JacksonDatabind_18,9
JacksonDatabind_20,2
JacksonDatabind_21,2
JacksonDatabind_22,12
JacksonDatabind_23,7
JacksonDatabind_25,4
JacksonDatabind_29,2
JacksonDatabind_30,6
JacksonDatabind_31,13
JacksonDatabind_32,2
JacksonDatabind_36,2
JacksonDatabind_38,6
JacksonDatabind_41,2
JacksonDatabind_43,2
JacksonDatabind_48,2
JacksonDatabind_50,6
JacksonDatabind_52,2
JacksonDatabind_53,7
JacksonDatabind_54,2
JacksonDatabind_55,3
JacksonDatabind_56,2
JacksonDatabind_59,4
JacksonDatabind_60,4
JacksonDatabind_61,3
JacksonDatabind_65,3
JacksonDatabind_66,3
JacksonDatabind_68,10
JacksonDatabind_69,6
JacksonDatabind_72,2
JacksonDatabind_73,4
JacksonDatabind_75,3
JacksonDatabind_77,2
JacksonDatabind_78,3
JacksonDatabind_79,4
JacksonDatabind_80,3
JacksonDatabind_81,7
JacksonDatabind_87,8
JacksonDatabind_90,2
JacksonDatabind_94,2
JacksonDatabind_95,4
JacksonDatabind_103,26
JacksonDatabind_104,3
JacksonDatabind_105,2
JacksonDatabind_108,2
JacksonDatabind_109,5
JacksonDatabind_110,3
JacksonDatabind_111,9
JacksonXml_1,2
JacksonXml_2,4
JacksonXml_6,2
Jsoup_3,13
Jsoup_4,2
Jsoup_7,3
Jsoup_11,4
