bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_file,avg_divergence
Chart_14,4,6,0.0,0.845633,0.2222,0.0
Chart_15,2,1,0.7978,0.4825,0.0,0.2668
Chart_16,2,1,0.9409,0.7196,0.0,0.4693
Chart_18,3,3,0.9415,0.900267,0.266667,0.6569
Chart_19,2,1,0.0,0.4457,0.0,0.0
Chart_2,2,1,0.0466,0.7245,0.0,0.0234
Chart_21,3,3,0.998733,0.631533,0.0,0.6929
Chart_22,4,6,0.89195,0.603083,0.0,0.7375
Chart_25,6,15,0.788967,0.47726,0.0,0.6392
Chart_4,2,1,1.0,0.302,0.0,0.2093
Cli_1,10,45,0.949038,0.426807,0.0,0.928
Cli_10,2,1,0.9843,0.517,0.0,0.3527
Cli_13,3,3,0.9466,1.0,0.375,0.6066
Cli_14,2,1,0.5912,0.3199,0.0,0.1311
Cli_16,6,15,0.932773,0.880847,0.308333,0.85
Cli_18,3,3,0.843167,0.694867,0.0,0.6314
Cli_21,6,15,0.945547,0.796913,0.275,0.8336
Cli_22,7,21,0.909881,0.59211,0.0,1.0491
Cli_23,2,1,0.9935,0.3297,0.0,0.227
Cli_26,2,1,0.9998,0.0,0.0,0.0
Cli_30,2,1,0.0654,1.0,0.25,0.0227
Cli_31,3,3,0.848367,1.0,0.25,0.466
Cli_33,2,1,0.8977,0.4117,0.0,0.2562
Cli_34,2,1,0.702,1.0,0.25,0.2433
Cli_36,3,3,0.806433,0.786933,0.166667,0.3925
Cli_39,2,1,0.9138,0.7306,0.0,0.4628
Cli_7,2,1,0.9845,0.3413,0.0,0.2329
Closure_100,2,1,0.9643,0.5721,0.0,0.3824
Closure_103,2,1,1.0,1.0,0.3333,0.3851
Closure_105,2,1,0.9482,0.3066,0.0,0.2015
Closure_106,2,1,0.9834,1.0,0.5,0.4544
Closure_108,4,6,0.953483,0.688417,0.0,0.908
Closure_110,6,15,0.959347,0.562147,0.166667,0.7764
Closure_115,2,1,0.9834,0.5759,0.0,0.3925
Closure_116,2,1,0.9873,0.5389,0.0,0.3688
Closure_117,2,1,0.0,0.0,0.0,0.0
Closure_134,6,15,0.950553,0.70672,0.1111,0.9513
Closure_135,3,3,0.952467,0.853833,0.380933,0.6944
Closure_136,2,1,0.9883,1.0,0.3333,0.3806
Closure_137,10,45,0.947084,0.737796,0.170353,1.114
Closure_138,3,3,0.9831,0.826467,0.2222,0.5721
Closure_139,4,6,0.934117,0.40425,0.0,0.5309
Closure_140,3,3,0.961433,0.435567,0.0,0.4613
Closure_141,3,3,0.966633,0.733333,0.2222,0.4671
Closure_142,3,3,0.9877,0.764633,0.285733,0.5527
Closure_143,2,1,0.944,1.0,0.3333,0.3635
Closure_144,9,36,0.961917,0.896769,0.341247,1.3062
Closure_147,2,1,0.9552,1.0,0.3333,0.3678
Closure_148,16,120,0.96274,0.284355,0.041663,0.6198
Closure_149,7,21,0.976881,0.879395,0.269814,0.988
Closure_151,3,3,0.988433,0.2096,0.0,0.2275
Closure_153,12,66,0.871215,0.740912,0.1616,1.1288
Closure_154,6,15,0.90744,0.81816,0.19998,0.8958
Closure_155,7,21,0.9812,0.784019,0.238071,0.8895
Closure_156,7,21,0.811324,0.4621,0.0,0.7298
Closure_157,7,21,0.911971,0.912343,0.299324,1.0781
Closure_158,11,55,0.965973,0.751851,0.18786,1.1637
Closure_16,2,1,0.9601,0.6838,0.0,0.4551
Closure_160,2,1,0.8625,0.0,0.0,0.0
Closure_162,6,15,0.95796,0.722867,0.1111,0.9989
Closure_163,18,153,0.949442,0.324239,0.037033,0.7487
Closure_164,2,1,0.8938,0.2127,0.0,0.1318
Closure_165,10,45,0.960631,0.840644,0.203164,1.1176
Closure_167,6,15,0.9288,0.729333,0.190467,1.0522
Closure_169,21,210,0.93626,0.864309,0.221758,1.4079
Closure_171,2,1,0.9439,1.0,0.3333,0.3635
Closure_173,2,1,0.9496,1.0,0.3333,0.3657
Closure_174,7,21,0.961024,0.832005,0.2222,1.0005
Closure_175,4,6,0.967233,0.40975,0.0,0.5506
Closure_176,3,3,0.884333,0.125267,0.0,0.1168
Closure_21,2,1,0.9458,0.3199,0.0,0.2097
Closure_24,2,1,0.932,0.0,0.0,0.0
Closure_25,2,1,0.8367,0.0,0.0,0.0
Closure_26,3,3,0.951267,0.4692,0.0,0.4892
Closure_27,3,3,0.9642,0.3978,0.0,0.4207
Closure_29,3,3,0.964833,0.522667,0.0,0.554
Closure_3,3,3,0.9305,0.672733,0.0,0.6851
Closure_30,4,6,0.987067,0.81815,0.16665,0.8159
Closure_32,4,6,0.970083,0.391183,0.0,0.5253
Closure_34,3,3,0.984267,0.905267,0.2222,0.6586
Closure_37,2,1,0.8992,1.0,0.4286,0.3859
Closure_39,2,1,0.9932,0.494,0.0,0.3401
Closure_4,2,1,0.0,0.494,0.0,0.0
Closure_41,2,1,0.9277,0.5565,0.0,0.3579
Closure_43,3,3,0.876133,0.4432,0.0,0.4136
Closure_45,3,3,0.9826,0.583867,0.0,0.6311
Closure_47,2,1,0.9346,1.0,0.6667,0.5038
Closure_49,3,3,0.780533,0.6448,0.0,0.5451
