bug_id,hunk_count,divergence
Chart_2,2,0.0234
Chart_4,2,0.2093
Chart_14,4,0.0000
Chart_15,2,0.2668
Chart_16,2,0.4693
Chart_18,3,0.6569
Chart_19,2,0.0000
Chart_21,3,0.6929
Chart_22,4,0.7375
Chart_25,6,0.6392
Cli_1,10,0.9280
Cli_7,2,0.2329
Cli_10,2,0.3527
Cli_13,3,0.6066
Cli_14,2,0.1311
Cli_16,6,0.8500
Cli_18,3,0.6314
Cli_21,6,0.8336
Cli_22,7,1.0491
Cli_23,2,0.2270
Cli_26,2,0.0000
Cli_30,2,0.0227
Cli_31,3,0.4660
Cli_33,2,0.2562
Cli_34,2,0.2433
Cli_36,3,0.3925
Cli_39,2,0.4628
Closure_3,3,0.6851
Closure_4,2,0.0000
Closure_6,3,0.3840
Closure_9,2,0.3538
Closure_16,2,0.4551
Closure_21,2,0.2097
Closure_24,2,0.0000
Closure_25,2,0.0000
Closure_26,3,0.4892
Closure_27,3,0.4207
Closure_29,3,0.5540
Closure_30,4,0.8159
Closure_32,4,0.5253
Closure_34,3,0.6586
Closure_37,2,0.3859
Closure_39,2,0.3401
Closure_41,2,0.3579
Closure_43,3,0.4136
Closure_45,3,0.6311
Closure_47,2,0.5038
Closure_49,3,0.5451
Closure_50,2,0.3201
Closure_51,2,0.2796
Closure_53,2,0.2159
Closure_54,3,0.7453
Closure_60,2,0.4113
Closure_64,2,0.4077
Closure_68,3,0.5748
Closure_72,2,0.3791
Closure_74,2,0.2081
Closure_75,2,0.3633
Closure_76,4,0.6529
Closure_79,2,0.3754
Closure_80,2,0.1939
Closure_84,3,0.4710
Closure_85,3,0.6454
Closure_89,2,0.3663
Closure_90,2,0.4665
Closure_98,3,0.3879
Closure_99,2,0.5171
Closure_100,2,0.3824
Closure_103,2,0.3851
Closure_105,2,0.2015
Closure_106,2,0.4544
Closure_108,4,0.9080
Closure_110,6,0.7764
Closure_115,2,0.3925
Closure_116,2,0.3688
Closure_117,2,0.0000
Closure_134,6,0.9513
Closure_135,3,0.6944
Closure_136,2,0.3806
Closure_137,10,1.1140
Closure_138,3,0.5721
Closure_139,4,0.5309
Closure_140,3,0.4613
Closure_141,3,0.4671
Closure_142,3,0.5527
Closure_143,2,0.3635
Closure_144,9,1.3062
Closure_147,2,0.3678
Closure_148,16,0.6198
Closure_149,7,0.9880
Closure_151,3,0.2275
Closure_153,12,1.1288
Closure_154,6,0.8958
Closure_155,7,0.8895
Closure_156,7,0.7298
Closure_157,7,1.0781
Closure_158,11,1.1637
Closure_160,2,0.0000
Closure_162,6,0.9989
Closure_163,18,0.7487
Closure_164,2,0.1318
Closure_165,10,1.1176
Closure_167,6,1.0522
Closure_169,21,1.4079
Closure_171,2,0.3635
Closure_173,2,0.3657
Closure_174,7,1.0005
Closure_175,4,0.5506
Closure_176,3,0.1168
Codec_1,3,0.3572
Codec_6,3,0.4685
Codec_8,2,0.3380
Codec_11,7,0.4740
Codec_12,2,0.0000
Codec_13,3,0.5858
Codec_14,5,0.7006
Collections_25,3,0.0784
Compress_2,6,0.5406
Compress_3,4,0.5396
Compress_4,4,0.3766
Compress_6,2,0.4138
Compress_9,2,0.2798
Compress_10,2,0.2093
Compress_11,2,0.3961
Compress_20,6,0.5219
Compress_22,7,0.8540
Compress_29,14,0.8019
Compress_33,3,0.4669
Compress_34,2,0.3288
Compress_35,2,0.3817
Compress_39,2,0.2865
Compress_40,3,0.4210
Compress_42,2,0.3196
Compress_43,4,0.6706
Compress_47,3,0.5763
Csv_7,2,0.4943
Csv_8,2,0.2832
Csv_13,2,0.3325
Csv_16,4,0.6150
Gson_1,2,0.4149
Gson_3,2,0.4110
Gson_4,12,0.5309
Gson_7,2,0.0000
Gson_8,5,0.7323
Gson_9,3,0.4268
Gson_14,2,0.0926
JacksonCore_1,3,0.5461
JacksonCore_2,8,0.6674
JacksonCore_9,6,0.0000
JacksonCore_10,2,0.3797
JacksonCore_12,8,0.7706
JacksonCore_16,3,0.4179
JacksonCore_17,3,0.5867
JacksonCore_18,4,0.5565
JacksonCore_19,2,0.0000
JacksonCore_21,2,0.3138
JacksonCore_22,7,0.9955
JacksonCore_24,4,0.5049
JacksonDatabind_3,2,0.5418
JacksonDatabind_4,4,0.5489
JacksonDatabind_6,2,0.2770
JacksonDatabind_8,2,0.1345
JacksonDatabind_10,5,0.6590
JacksonDatabind_13,2,0.0000
JacksonDatabind_14,2,0.3138
JacksonDatabind_15,11,1.1470
JacksonDatabind_18,9,0.8512
JacksonDatabind_20,2,0.3313
JacksonDatabind_21,2,0.2301
JacksonDatabind_22,12,1.0804
JacksonDatabind_23,7,0.3753
JacksonDatabind_25,4,0.5261
JacksonDatabind_29,2,0.2608
JacksonDatabind_30,6,0.7909
JacksonDatabind_31,13,0.7629
JacksonDatabind_32,2,0.4673
JacksonDatabind_36,2,0.2734
JacksonDatabind_38,6,0.7749
JacksonDatabind_41,2,0.1565
JacksonDatabind_43,2,0.3828
JacksonDatabind_48,2,0.1142
JacksonDatabind_50,6,0.7237
JacksonDatabind_52,2,0.3628
JacksonDatabind_53,7,0.7620
JacksonDatabind_54,2,0.3715
JacksonDatabind_55,3,0.5930
JacksonDatabind_56,2,0.3253
JacksonDatabind_59,4,0.5816
JacksonDatabind_60,4,0.6181
JacksonDatabind_61,3,0.2418
JacksonDatabind_65,3,0.6511
JacksonDatabind_66,3,0.5067
JacksonDatabind_68,10,0.4392
JacksonDatabind_69,6,0.9105
JacksonDatabind_72,2,0.0000
JacksonDatabind_73,4,0.6578
JacksonDatabind_75,3,0.7290
JacksonDatabind_77,2,0.2107
JacksonDatabind_78,3,0.2236
JacksonDatabind_79,4,0.5917
JacksonDatabind_80,3,0.4138
JacksonDatabind_81,7,1.1579
JacksonDatabind_87,8,1.1163
JacksonDatabind_90,2,0.2955
JacksonDatabind_94,2,0.4826
JacksonDatabind_95,4,0.4802
JacksonDatabind_103,26,1.5986
JacksonDatabind_104,3,0.4630
