bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Chart_2,0,1,0.0466,0.7245,0.0000,0.0337
Chart_4,0,1,1.0000,0.3020,0.0000,0.3020
Chart_14,0,1,0.0000,0.5389,0.0000,0.0000
Chart_14,0,2,0.0000,1.0000,0.3333,0.0000
Chart_14,0,3,0.0000,1.0000,0.3333,0.0000
Chart_14,1,2,0.0000,1.0000,0.3333,0.0000
Chart_14,1,3,0.0000,1.0000,0.3333,0.0000
Chart_14,2,3,0.0000,0.5349,0.0000,0.0000
Chart_15,0,1,0.7978,0.4825,0.0000,0.3849
Chart_16,0,1,0.9409,0.7196,0.0000,0.6770
Chart_18,0,1,0.9836,0.7008,0.0000,0.6893
Chart_18,0,2,0.9555,1.0000,0.4000,0.5733
Chart_18,1,2,0.8854,1.0000,0.4000,0.5312
Chart_19,0,1,0.0000,0.4457,0.0000,0.0000
Chart_21,0,1,1.0000,0.5286,0.0000,0.5286
Chart_21,0,2,0.9981,0.6830,0.0000,0.6817
Chart_21,1,2,0.9981,0.6830,0.0000,0.6817
Chart_22,0,1,0.8892,0.5436,0.0000,0.4834
Chart_22,0,2,0.9302,0.6309,0.0000,0.5869
Chart_22,0,3,0.6371,0.6986,0.0000,0.4451
Chart_22,1,2,0.9976,0.4883,0.0000,0.4872
Chart_22,1,3,0.9904,0.5904,0.0000,0.5847
Chart_22,2,3,0.9072,0.6667,0.0000,0.6048
Chart_25,0,1,0.9562,0.3263,0.0000,0.3120
Chart_25,0,2,0.9999,0.3263,0.0000,0.3262
Chart_25,0,3,0.0000,0.5779,0.0000,0.0000
Chart_25,0,4,0.9562,0.5779,0.0000,0.5525
Chart_25,0,5,0.9999,0.5779,0.0000,0.5778
Chart_25,1,2,1.0000,0.3263,0.0000,0.3263
Chart_25,1,3,0.9897,0.5779,0.0000,0.5719
Chart_25,1,4,0.0000,0.5779,0.0000,0.0000
Chart_25,1,5,1.0000,0.5779,0.0000,0.5779
Chart_25,2,3,0.9765,0.5779,0.0000,0.5643
Chart_25,2,4,1.0000,0.5779,0.0000,0.5779
Chart_25,2,5,0.0000,0.5779,0.0000,0.0000
Chart_25,3,4,0.9562,0.3263,0.0000,0.3120
Chart_25,3,5,0.9999,0.3263,0.0000,0.3262
Chart_25,4,5,1.0000,0.3263,0.0000,0.3263
Cli_1,0,1,0.9887,0.2211,0.0000,0.2186
Cli_1,0,2,0.9803,0.5133,0.0000,0.5032
Cli_1,0,3,0.9913,0.4421,0.0000,0.4383
Cli_1,0,4,0.9937,0.4421,0.0000,0.4393
Cli_1,0,5,0.9938,0.2211,0.0000,0.2197
Cli_1,0,6,0.9924,0.4421,0.0000,0.4388
Cli_1,0,7,0.9777,0.5133,0.0000,0.5019
Cli_1,0,8,0.9762,0.5133,0.0000,0.5011
Cli_1,0,9,1.0000,0.2211,0.0000,0.2211
Cli_1,1,2,0.9840,0.4421,0.0000,0.4350
Cli_1,1,3,0.9379,0.3504,0.0000,0.3286
Cli_1,1,4,0.9573,0.3504,0.0000,0.3354
Cli_1,1,5,0.9499,0.0000,0.0000,0.0000
Cli_1,1,6,0.9444,0.3504,0.0000,0.3309
Cli_1,1,7,0.9683,0.4421,0.0000,0.4281
Cli_1,1,8,0.9823,0.4421,0.0000,0.4343
Cli_1,1,9,1.0000,0.0000,0.0000,0.0000
Cli_1,2,3,0.8359,0.5714,0.0000,0.4777
Cli_1,2,4,0.9023,0.5714,0.0000,0.5156
Cli_1,2,5,0.9486,0.4421,0.0000,0.4194
Cli_1,2,6,0.9414,0.5714,0.0000,0.5380
Cli_1,2,7,0.8752,0.6206,0.0000,0.5432
Cli_1,2,8,0.9558,0.6206,0.0000,0.5932
Cli_1,2,9,1.0000,0.4421,0.0000,0.4421
Cli_1,3,4,0.7320,0.5133,0.0000,0.3758
Cli_1,3,5,0.8428,0.3504,0.0000,0.2953
Cli_1,3,6,0.8299,0.5133,0.0000,0.4260
Cli_1,3,7,0.9850,0.5714,0.0000,0.5629
Cli_1,3,8,0.9920,0.5714,0.0000,0.5668
Cli_1,3,9,1.0000,0.3504,0.0000,0.3504
Cli_1,4,5,0.7493,0.3504,0.0000,0.2625
Cli_1,4,6,0.7657,0.5133,0.0000,0.3930
Cli_1,4,7,0.9980,0.5714,0.0000,0.5703
Cli_1,4,8,0.9992,0.5714,0.0000,0.5710
Cli_1,4,9,1.0000,0.3504,0.0000,0.3504
Cli_1,5,6,0.8525,0.3504,0.0000,0.2987
Cli_1,5,7,0.9968,0.4421,0.0000,0.4407
Cli_1,5,8,0.9992,0.4421,0.0000,0.4418
Cli_1,5,9,1.0000,0.0000,0.0000,0.0000
Cli_1,6,7,0.9942,0.5714,0.0000,0.5681
Cli_1,6,8,0.9973,0.5714,0.0000,0.5699
Cli_1,6,9,1.0000,0.3504,0.0000,0.3504
Cli_1,7,8,0.8954,0.6206,0.0000,0.5557
Cli_1,7,9,1.0000,0.4421,0.0000,0.4421
Cli_1,8,9,1.0000,0.4421,0.0000,0.4421
Cli_7,0,1,0.9845,0.3413,0.0000,0.3360
Cli_10,0,1,0.9843,0.5170,0.0000,0.5089
Cli_13,0,1,0.9262,1.0000,0.3750,0.5403
Cli_13,0,2,0.9485,1.0000,0.3750,0.5533
Cli_13,1,2,0.9651,1.0000,0.3750,0.5630
Cli_14,0,1,0.5912,0.3199,0.0000,0.1891
Cli_16,0,1,0.9026,0.0000,0.0000,0.0000
Cli_16,0,2,0.9601,1.0000,0.3750,0.5601
Cli_16,0,3,0.8659,1.0000,0.3750,0.5051
Cli_16,0,4,0.9435,1.0000,0.3750,0.5504
Cli_16,0,5,0.8910,1.0000,0.3750,0.5197
Cli_16,1,2,0.9533,1.0000,0.3750,0.5561
Cli_16,1,3,0.9101,1.0000,0.3750,0.5309
Cli_16,1,4,0.9121,1.0000,0.3750,0.5320
Cli_16,1,5,0.7892,1.0000,0.3750,0.4603
Cli_16,2,3,0.9996,1.0000,0.3750,0.5831
Cli_16,2,4,0.9999,1.0000,0.3750,0.5833
Cli_16,2,5,0.9614,1.0000,0.3750,0.5608
Cli_16,3,4,0.9525,1.0000,0.2500,0.4762
Cli_16,3,5,0.9847,1.0000,0.2500,0.4924
Cli_16,4,5,0.9657,0.2127,0.0000,0.2054
Cli_18,0,1,0.9257,0.6770,0.0000,0.6267
Cli_18,0,2,0.6321,0.7962,0.0000,0.5033
Cli_18,1,2,0.9717,0.6114,0.0000,0.5941
Cli_21,0,1,0.9026,0.0000,0.0000,0.0000
Cli_21,0,2,0.9660,1.0000,0.3750,0.5635
Cli_21,0,3,0.9050,1.0000,0.3750,0.5279
Cli_21,0,4,0.9723,1.0000,0.3750,0.5672
Cli_21,0,5,0.9414,1.0000,0.3750,0.5491
Cli_21,1,2,0.9212,1.0000,0.3750,0.5374
Cli_21,1,3,0.8210,1.0000,0.3750,0.4789
Cli_21,1,4,0.9869,1.0000,0.3750,0.5757
Cli_21,1,5,0.9690,1.0000,0.3750,0.5652
Cli_21,2,3,0.9692,0.2080,0.0000,0.2016
Cli_21,2,4,0.9926,0.4160,0.0000,0.4130
Cli_21,2,5,0.9847,1.0000,0.3750,0.5744
Cli_21,3,4,0.9405,0.3297,0.0000,0.3101
Cli_21,3,5,0.9509,1.0000,0.3750,0.5547
Cli_21,4,5,0.9599,1.0000,0.3750,0.5599
Cli_22,0,1,0.9838,0.6055,0.0000,0.5957
Cli_22,0,2,0.9888,0.6398,0.0000,0.6327
Cli_22,0,3,0.9903,0.2018,0.0000,0.1999
Cli_22,0,4,0.9813,0.3199,0.0000,0.3139
Cli_22,0,5,0.5875,0.4037,0.0000,0.2372
Cli_22,0,6,0.9858,0.6398,0.0000,0.6307
Cli_22,1,2,0.5802,0.5218,0.0000,0.3027
Cli_22,1,3,0.9641,0.6398,0.0000,0.6169
Cli_22,1,4,0.7080,0.6705,0.0000,0.4748
Cli_22,1,5,0.9996,0.6983,0.0000,0.6980
Cli_22,1,6,0.8139,0.8074,0.0000,0.6571
Cli_22,2,3,0.9278,0.6705,0.0000,0.6221
Cli_22,2,4,0.7791,0.6983,0.0000,0.5441
