LLM,BUG_ID
Llama3.3,Chart-4
Llama3.3,Chart-14
Llama3.3,Chart-15
Llama3.3,Chart-19
Llama3.3,Chart-25
Llama3.3,Cli-26
Llama3.3,Cli-34
Llama3.3,Cli-36
Llama3.3,Closure-9
Llama3.3,Closure-53
Llama3.3,Closure-79
Llama3.3,Closure-80
Llama3.3,Closure-115
Llama3.3,Compress-6
Llama3.3,Compress-11
Llama3.3,Gson-7
Llama3.3,JacksonDatabind-4
Llama3.3,JacksonDatabind-29
Llama3.3,JacksonDatabind-48
Llama3.3,JacksonDatabind-61
Llama3.3,JacksonDatabind-65
Llama3.3,Jsoup-4
Llama3.3,Jsoup-18
Llama3.3,Jsoup-23
Llama3.3,Jsoup-42
Llama3.3,Jsoup-59
Llama3.3,JxPath-16
Llama3.3,Lang-7
Llama3.3,Lang-27
Llama3.3,Lang-35
Llama3.3,Lang-47
Llama3.3,Lang-60
Llama3.3,Math-4
Llama3.3,Math-23
Llama3.3,Math-26
Llama3.3,Math-35
Llama3.3,Math-38
Llama3.3,Math-65
Llama3.3,Math-72
Llama3.3,Math-86
Llama3.3,Math-90
Llama3.3,Math-93
Llama3.3,Math-98
Llama3.3,Math-106
Llama3.3,Time-12
Llama3.3,Time-23
Llama3.2,Chart-4
Llama3.2,Chart-14
Llama3.2,Chart-15
Llama3.2,Chart-19
Llama3.2,Chart-25
Llama3.2,Cli-26
Llama3.2,Cli-34
Llama3.2,Cli-36
Llama3.2,Closure-9
Llama3.2,Closure-80
Llama3.2,Closure-115
Llama3.2,Closure-117
Llama3.2,Closure-160
Llama3.2,Codec-6
Llama3.2,Codec-8
Llama3.2,Compress-6
Llama3.2,Gson-7
Llama3.2,Gson-9
Llama3.2,JacksonDatabind-29
Llama3.2,JacksonDatabind-48
Llama3.2,JacksonDatabind-61
Llama3.2,Jsoup-4
Llama3.2,Jsoup-42
Llama3.2,Jsoup-59
Llama3.2,Jsoup-74
Llama3.2,JxPath-16
Llama3.2,Lang-4
Llama3.2,Lang-7
Llama3.2,Lang-27
Llama3.2,Lang-35
Llama3.2,Lang-47
Llama3.2,Lang-50
Llama3.2,Lang-56
