project,bugs,hunks_min,hunks_median,hunks_mean,hunks_max,files_min,files_median,files_mean,files_max
Chart,10,2,2.5,3,6,1,1.0,1.2,2
Cli,17,2,2,3.47,10,1,1,1.71,4
Closure,82,2,3.0,4.06,21,1,1.0,1.63,6
Codec,7,2,3,3.57,7,1,2,2.43,6
Collections,1,3,3,3,3,1,1,1,1
Compress,18,2,3.0,3.89,14,1,1.0,1.61,7
Csv,4,2,2.0,2.5,4,1,1.0,1.25,2
Gson,7,2,2,4,12,1,1,1.43,3
JacksonCore,12,2,3.5,4.33,8,1,2.0,1.75,3
JacksonDatabind,55,2,3,4.58,26,1,1,1.87,16
JacksonXml,3,2,2,2.67,4,1,1,1,1
Jsoup,37,2,3,4.73,47,1,1,1.89,5
JxPath,14,2,4.0,4.5,11,1,2.0,1.93,5
Lang,25,2,2,2.72,7,1,1,1,1
Math,50,2,2.0,2.8,12,1,1.0,1.26,7
Mockito,20,2,3.0,4,20,1,1.0,1.4,5
Time,10,2,3.0,4,10,1,1.0,1.5,3
TOTAL,372,2,3.0,3.86,47,1,1.0,1.59,16
