bug_id,file_path,hunk_index
Chart_2,0,0
Chart_2,1,1
Chart_4,0,0
Chart_4,1,1
Chart_14,0,0
Chart_14,1,1
Chart_14,2,2
Chart_14,3,3
Chart_15,0,0
Chart_15,1,1
Chart_16,0,0
Chart_16,1,1
Chart_18,0,0
Chart_18,1,1
Chart_18,2,2
Chart_19,0,0
Chart_19,1,1
Chart_21,0,0
Chart_21,1,1
Chart_21,2,2
Chart_22,0,0
Chart_22,1,1
Chart_22,2,2
Chart_22,3,3
Chart_25,0,0
Chart_25,1,1
Chart_25,2,2
Chart_25,3,3
Chart_25,4,4
Chart_25,5,5
Cli_1,0,0
Cli_1,1,1
Cli_1,2,2
Cli_1,3,3
Cli_1,4,4
Cli_1,5,5
Cli_1,6,6
Cli_1,7,7
Cli_1,8,8
Cli_1,9,9
Cli_7,0,0
Cli_7,1,1
Cli_10,0,0
Cli_10,1,1
Cli_13,0,0
Cli_13,1,1
Cli_13,2,2
Cli_14,0,0
Cli_14,1,1
Cli_16,0,0
Cli_16,1,1
Cli_16,2,2
Cli_16,3,3
Cli_16,4,4
Cli_16,5,5
Cli_18,0,0
Cli_18,1,1
Cli_18,2,2
Cli_21,0,0
Cli_21,1,1
Cli_21,2,2
Cli_21,3,3
Cli_21,4,4
Cli_21,5,5
Cli_22,0,0
Cli_22,1,1
Cli_22,2,2
Cli_22,3,3
Cli_22,4,4
Cli_22,5,5
Cli_22,6,6
Cli_23,0,0
Cli_23,1,1
Cli_26,0,0
Cli_26,1,1
Cli_30,0,0
Cli_30,1,1
Cli_31,0,0
Cli_31,1,1
Cli_31,2,2
Cli_33,0,0
Cli_33,1,1
Cli_34,0,0
Cli_34,1,1
Cli_36,0,0
Cli_36,1,1
Cli_36,2,2
Cli_39,0,0
Cli_39,1,1
Closure_3,0,0
Closure_3,1,1
Closure_3,2,2
Closure_4,0,0
Closure_4,1,1
Closure_6,0,0
Closure_6,1,1
Closure_6,2,2
Closure_9,0,0
Closure_9,1,1
Closure_16,0,0
Closure_16,1,1
Closure_21,0,0
Closure_21,1,1
Closure_24,0,0
Closure_24,1,1
Closure_25,0,0
Closure_25,1,1
Closure_26,0,0
Closure_26,1,1
Closure_26,2,2
Closure_27,0,0
Closure_27,1,1
Closure_27,2,2
Closure_29,0,0
Closure_29,1,1
Closure_29,2,2
Closure_30,0,0
Closure_30,1,1
Closure_30,2,2
Closure_30,3,3
Closure_32,0,0
Closure_32,1,1
Closure_32,2,2
Closure_32,3,3
Closure_34,0,0
Closure_34,1,1
Closure_34,2,2
Closure_37,0,0
Closure_37,1,1
Closure_39,0,0
Closure_39,1,1
Closure_41,0,0
Closure_41,1,1
Closure_43,0,0
Closure_43,1,1
Closure_43,2,2
Closure_45,0,0
Closure_45,1,1
Closure_45,2,2
Closure_47,0,0
Closure_47,1,1
Closure_49,0,0
Closure_49,1,1
Closure_49,2,2
Closure_50,0,0
Closure_50,1,1
Closure_51,0,0
Closure_51,1,1
Closure_53,0,0
Closure_53,1,1
Closure_54,0,0
Closure_54,1,1
Closure_54,2,2
Closure_60,0,0
Closure_60,1,1
Closure_64,0,0
Closure_64,1,1
Closure_68,0,0
Closure_68,1,1
Closure_68,2,2
Closure_72,0,0
Closure_72,1,1
Closure_74,0,0
Closure_74,1,1
Closure_75,0,0
Closure_75,1,1
Closure_76,0,0
Closure_76,1,1
Closure_76,2,2
Closure_76,3,3
Closure_79,0,0
Closure_79,1,1
Closure_80,0,0
Closure_80,1,1
Closure_84,0,0
Closure_84,1,1
Closure_84,2,2
Closure_85,0,0
Closure_85,1,1
Closure_85,2,2
Closure_89,0,0
Closure_89,1,1
Closure_90,0,0
Closure_90,1,1
Closure_98,0,0
Closure_98,1,1
Closure_98,2,2
Closure_99,0,0
Closure_99,1,1
Closure_100,0,0
Closure_100,1,1
Closure_103,0,0
Closure_103,1,1
Closure_105,0,0
Closure_105,1,1
Closure_106,0,0
Closure_106,1,1
Closure_108,0,0
Closure_108,1,1
Closure_108,2,2
Closure_108,3,3
Closure_110,0,0
Closure_110,1,1
Closure_110,2,2
Closure_110,3,3
Closure_110,4,4
Closure_110,5,5
Closure_115,0,0
Closure_115,1,1
Closure_116,0,0
