bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_package,avg_divergence
Chart_14,4,6,0.0,0.666667,0.0,0.0
Chart_15,2,1,1.0,0.0909,0.0,0.0455
Chart_16,2,1,0.6503,0.3913,0.0,0.1272
Chart_18,3,3,0.860633,0.8,0.0,0.2478
Chart_19,2,1,0.0,0.0,0.0,0.0
Chart_2,2,1,0.1238,0.4444,0.0,0.0275
Chart_21,3,3,0.666667,0.133333,0.0,0.066667
Chart_22,4,6,0.811633,0.181833,0.0,0.066483
Chart_25,6,15,0.533333,0.090927,0.0,0.036373
Chart_4,2,1,0.0,0.0,0.0,0.0
Cli_1,10,45,0.878836,0.228573,0.0,0.093911
Cli_10,2,1,1.0,0.12,0.0,0.06
Cli_13,3,3,0.9205,1.0,0.444433,0.567833
Cli_14,2,1,1.0,0.2083,0.0,0.1042
Cli_16,6,15,0.333333,0.866667,0.3111,0.14816
Cli_18,3,3,0.835833,0.266667,0.0,0.1005
Cli_21,6,15,0.897867,0.745453,0.3111,0.398767
Cli_22,7,21,0.753338,0.30769,0.0,0.108338
Cli_23,2,1,0.7709,0.5238,0.0,0.2019
Cli_26,2,1,0.4118,0.5455,0.0,0.1123
Cli_30,2,1,0.0393,1.0,0.0,0.0131
Cli_31,3,3,0.6323,1.0,0.0,0.210767
Cli_33,2,1,0.6854,0.1304,0.0,0.0447
Cli_34,2,1,0.4884,1.0,0.0,0.1628
Cli_36,3,3,0.4959,0.7143,0.0,0.1018
Cli_39,2,1,1.0,0.4783,0.0,0.2391
Cli_7,2,1,0.7347,0.1053,0.0,0.0387
Closure_100,2,1,1.0,0.1304,0.0,0.0652
Closure_103,2,1,1.0,1.0,0.0,0.3333
Closure_105,2,1,0.912,0.1786,0.0,0.0814
Closure_106,2,1,1.0,1.0,0.5,0.6667
Closure_108,4,6,0.5,0.10715,0.0,0.05355
Closure_110,6,15,0.814067,0.542853,0.0392,0.192733
Closure_115,2,1,0.6953,0.3929,0.0,0.1366
Closure_116,2,1,0.0,0.0,0.0,0.0
Closure_117,2,1,0.9854,0.08,0.0,0.0394
Closure_134,6,15,0.683413,0.546667,0.0,0.149693
Closure_135,3,3,0.0,0.666667,0.2,0.0
Closure_136,2,1,0.9335,1.0,0.0,0.3112
Closure_137,10,45,0.752531,0.575229,0.0,0.144384
Closure_138,3,3,0.801333,0.7531,0.0,0.2354
Closure_139,4,6,0.776033,0.06665,0.0,0.029517
Closure_140,3,3,0.666667,0.074067,0.0,0.037067
Closure_141,3,3,0.8822,0.6923,0.0,0.195767
Closure_142,3,3,0.0,0.666667,0.066667,0.0
Closure_143,2,1,0.28,1.0,0.0,0.0933
Closure_144,9,36,0.556606,0.786667,0.116667,0.204969
Closure_147,2,1,1.0,1.0,0.0,0.3333
Closure_148,16,120,0.925172,0.272378,0.0,0.104615
Closure_149,7,21,0.752757,0.8227,0.0,0.209876
Closure_151,3,3,0.0,0.0,0.0,0.0
Closure_153,12,66,0.695414,0.703761,0.0,0.186803
Closure_154,6,15,0.8874,0.691033,0.0,0.21612
Closure_155,7,21,0.802805,0.737143,0.0,0.200314
Closure_156,7,21,0.651348,0.1633,0.0,0.053643
Closure_157,7,21,0.844924,0.862957,0.043286,0.276229
Closure_158,11,55,0.848922,0.607709,0.0,0.198396
Closure_16,2,1,0.6615,0.4348,0.0,0.1438
Closure_160,2,1,1.0,0.0741,0.0,0.037
Closure_162,6,15,0.9038,0.44928,0.0,0.145047
Closure_163,18,153,0.849841,0.349106,0.0,0.129542
Closure_164,2,1,1.0,0.0,0.0,0.0
Closure_165,10,45,0.633104,0.759256,0.0,0.15684
Closure_167,6,15,0.818067,0.566667,0.0889,0.25152
Closure_169,21,210,0.705151,0.839285,0.0,0.205377
Closure_171,2,1,1.0,1.0,0.0,0.3333
Closure_173,2,1,0.7798,1.0,0.0,0.2599
Closure_174,7,21,0.776052,0.751729,0.0,0.20731
Closure_175,4,6,0.913933,0.160717,0.0,0.07085
Closure_176,3,3,0.580033,0.2745,0.0,0.0795
Closure_21,2,1,0.953,0.2273,0.0,0.1083
Closure_24,2,1,0.9402,0.6818,0.0,0.3205
Closure_25,2,1,0.5139,0.1053,0.0,0.027
Closure_26,3,3,0.0,0.0,0.0,0.0
Closure_27,3,3,0.928833,0.2222,0.0,0.099267
Closure_29,3,3,0.0,0.0,0.0,0.0
Closure_3,3,3,0.7853,0.1778,0.0,0.060267
Closure_30,4,6,0.790067,0.597233,0.0,0.200833
Closure_32,4,6,0.828417,0.138867,0.0,0.05325
Closure_34,3,3,0.6961,0.809533,0.0,0.2019
Closure_37,2,1,0.8408,1.0,0.0667,0.3176
Closure_39,2,1,0.844,0.619,0.0,0.2612
Closure_4,2,1,0.0,0.3,0.0,0.0
Closure_41,2,1,0.0,0.0,0.0,0.0
Closure_43,3,3,0.666667,0.114267,0.0,0.057133
Closure_45,3,3,0.9082,0.288867,0.0,0.124567
Closure_47,2,1,0.6091,1.0,0.2222,0.2933
Closure_49,3,3,0.908733,0.194467,0.0,0.088867
Closure_50,2,1,0.7143,0.1852,0.0,0.0661
Closure_51,2,1,1.0,0.1579,0.0,0.0789
Closure_53,2,1,0.0,0.0,0.0,0.0
Closure_54,3,3,0.805733,0.8,0.111133,0.279233
Closure_6,3,3,0.667333,0.266667,0.0,0.071033
