bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Chart_2,0,1,0.1238,0.4444,0.0000,0.0275
Chart_4,0,1,0.0000,0.0000,0.0000,0.0000
Chart_14,0,1,0.0000,0.0000,0.0000,0.0000
Chart_14,0,2,0.0000,1.0000,0.0000,0.0000
Chart_14,0,3,0.0000,1.0000,0.0000,0.0000
Chart_14,1,2,0.0000,1.0000,0.0000,0.0000
Chart_14,1,3,0.0000,1.0000,0.0000,0.0000
Chart_14,2,3,0.0000,0.0000,0.0000,0.0000
Chart_15,0,1,1.0000,0.0909,0.0000,0.0455
Chart_16,0,1,0.6503,0.3913,0.0000,0.1272
Chart_18,0,1,0.8795,0.4000,0.0000,0.1759
Chart_18,0,2,0.7203,1.0000,0.0000,0.2401
Chart_18,1,2,0.9821,1.0000,0.0000,0.3274
Chart_19,0,1,0.0000,0.0000,0.0000,0.0000
Chart_21,0,1,0.0000,0.0000,0.0000,0.0000
Chart_21,0,2,1.0000,0.2000,0.0000,0.1000
Chart_21,1,2,1.0000,0.2000,0.0000,0.1000
Chart_22,0,1,0.7806,0.1364,0.0000,0.0532
Chart_22,0,2,1.0000,0.1364,0.0000,0.0682
Chart_22,0,3,0.5892,0.3636,0.0000,0.1071
Chart_22,1,2,1.0000,0.0000,0.0000,0.0000
Chart_22,1,3,0.5000,0.2273,0.0000,0.0568
Chart_22,2,3,1.0000,0.2273,0.0000,0.1136
Chart_25,0,1,1.0000,0.1364,0.0000,0.0682
Chart_25,0,2,0.0000,0.0000,0.0000,0.0000
Chart_25,0,3,0.0000,0.0000,0.0000,0.0000
Chart_25,0,4,1.0000,0.1364,0.0000,0.0682
Chart_25,0,5,0.0000,0.0000,0.0000,0.0000
Chart_25,1,2,1.0000,0.1364,0.0000,0.0682
Chart_25,1,3,1.0000,0.1364,0.0000,0.0682
Chart_25,1,4,0.0000,0.2727,0.0000,0.0000
Chart_25,1,5,1.0000,0.1364,0.0000,0.0682
Chart_25,2,3,0.0000,0.0000,0.0000,0.0000
Chart_25,2,4,1.0000,0.1364,0.0000,0.0682
Chart_25,2,5,0.0000,0.0000,0.0000,0.0000
Chart_25,3,4,1.0000,0.1364,0.0000,0.0682
Chart_25,3,5,0.0000,0.0000,0.0000,0.0000
Chart_25,4,5,1.0000,0.1364,0.0000,0.0682
Cli_1,0,1,0.9730,0.0714,0.0000,0.0348
Cli_1,0,2,0.8795,0.2143,0.0000,0.0942
Cli_1,0,3,0.8819,0.1429,0.0000,0.0630
