bug_id,hunk_count,divergence
Chart_2,2,0.0275
Chart_4,2,0.0000
Chart_14,4,0.0000
Chart_15,2,0.0455
Chart_16,2,0.1272
Chart_18,3,0.2568
Chart_19,2,0.0000
Chart_21,3,0.0667
Chart_22,4,0.0665
Chart_25,6,0.0364
Cli_1,10,0.0939
Cli_7,2,0.0387
Cli_10,2,0.0600
Cli_13,3,0.5678
Cli_14,2,0.1042
Cli_16,6,0.1550
Cli_18,3,0.1005
Cli_21,6,0.4355
Cli_22,7,0.1083
Cli_23,2,0.2019
Cli_26,2,0.1123
Cli_30,2,0.0131
Cli_31,3,0.2108
Cli_33,2,0.0447
Cli_34,2,0.1628
Cli_36,3,0.1080
Cli_39,2,0.2391
Closure_3,3,0.0603
Closure_4,2,0.0000
Closure_6,3,0.0710
Closure_9,2,0.0870
Closure_16,2,0.1438
Closure_21,2,0.1083
Closure_24,2,0.3205
Closure_25,2,0.0270
Closure_26,3,0.0000
Closure_27,3,0.0993
Closure_29,3,0.0000
Closure_30,4,0.2216
Closure_32,4,0.0533
Closure_34,3,0.2068
Closure_37,2,0.3176
Closure_39,2,0.2612
Closure_41,2,0.0000
Closure_43,3,0.0571
Closure_45,3,0.1246
Closure_47,2,0.2933
Closure_49,3,0.0889
Closure_50,2,0.0661
Closure_51,2,0.0789
Closure_53,2,0.0000
Closure_54,3,0.2899
Closure_60,2,0.0833
Closure_64,2,0.1391
Closure_68,3,0.1389
Closure_72,2,0.3333
Closure_74,2,0.0417
Closure_75,2,0.0580
Closure_76,4,0.1431
Closure_79,2,0.3333
Closure_80,2,0.0000
Closure_84,3,0.0000
Closure_85,3,0.1504
Closure_89,2,0.3333
Closure_90,2,0.5333
Closure_98,3,0.0000
Closure_99,2,0.1364
Closure_100,2,0.0652
Closure_103,2,0.3333
Closure_105,2,0.0814
Closure_106,2,0.6667
Closure_108,4,0.0536
Closure_110,6,0.2123
Closure_115,2,0.1366
Closure_116,2,0.0000
Closure_117,2,0.0394
Closure_134,6,0.1632
Closure_135,3,0.0000
Closure_136,2,0.3112
Closure_137,10,0.1603
Closure_138,3,0.2573
Closure_139,4,0.0295
Closure_140,3,0.0370
Closure_141,3,0.2154
Closure_142,3,0.0000
Closure_143,2,0.0933
Closure_144,9,0.2177
Closure_147,2,0.3333
Closure_148,16,0.1155
Closure_149,7,0.2218
Closure_151,3,0.0000
Closure_153,12,0.1995
Closure_154,6,0.2342
Closure_155,7,0.2173
Closure_156,7,0.0536
Closure_157,7,0.2909
Closure_158,11,0.2241
Closure_160,2,0.0370
Closure_162,6,0.1624
Closure_163,18,0.1382
Closure_164,2,0.0000
Closure_165,10,0.1654
Closure_167,6,0.2886
Closure_169,21,0.2143
Closure_171,2,0.3333
Closure_173,2,0.2599
Closure_174,7,0.2190
Closure_175,4,0.0709
Closure_176,3,0.0795
Codec_1,3,0.0794
Codec_6,3,0.1212
Codec_8,2,0.2279
Codec_11,7,0.0605
Codec_12,2,0.0000
Codec_13,3,0.3042
Codec_14,5,0.2556
Collections_25,3,0.0100
Compress_2,6,0.0515
Compress_3,4,0.0000
Compress_4,4,0.4634
Compress_6,2,0.0652
Compress_9,2,0.0600
Compress_10,2,0.0441
Compress_11,2,0.0000
Compress_20,6,0.0308
Compress_22,7,0.0529
Compress_29,14,0.1358
Compress_33,3,0.1875
Compress_34,2,0.1000
Compress_35,2,0.1590
Compress_39,2,0.0652
Compress_40,3,0.1029
Compress_42,2,0.3333
Compress_43,4,0.0627
Compress_47,3,0.0933
Csv_7,2,0.0000
Csv_8,2,0.0833
Csv_13,2,0.1667
Csv_16,4,0.0262
Gson_1,2,0.0000
