bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_package,avg_divergence
Chart_14,4,6,0.0,0.666667,0.666667,0.0
Chart_15,2,1,0.6,0.0909,0.0,0.0545
Chart_16,2,1,1.0,0.3913,0.0,0.3913
Chart_18,3,3,1.0,0.8,0.666667,0.8
Chart_19,2,1,0.0,0.0,0.0,0.0
Chart_2,2,1,0.1429,0.4444,0.0,0.0635
Chart_21,3,3,0.982467,0.133333,0.0,0.129833
Chart_22,4,6,0.97385,0.181833,0.0,0.178917
Chart_25,6,15,0.666667,0.090927,0.0,0.072747
Chart_4,2,1,1.0,0.0,0.0,0.0
Cli_1,10,45,0.986776,0.228573,0.0,0.226129
Cli_10,2,1,1.0,0.12,0.0,0.12
Cli_13,3,3,1.0,1.0,1.0,1.0
Cli_14,2,1,0.6667,0.2083,0.0,0.1389
Cli_16,6,15,1.0,0.866667,0.866667,0.866667
Cli_18,3,3,1.0,0.266667,0.0,0.266667
Cli_21,6,15,0.9942,0.745453,0.733333,0.739653
Cli_22,7,21,0.978838,0.30769,0.0,0.306062
Cli_23,2,1,1.0,0.5238,0.0,0.5238
Cli_26,2,1,1.0,0.5455,0.0,0.5455
Cli_30,2,1,0.1,1.0,1.0,0.1
Cli_31,3,3,1.0,1.0,1.0,1.0
Cli_33,2,1,1.0,0.1304,0.0,0.1304
Cli_34,2,1,1.0,1.0,1.0,1.0
Cli_36,3,3,1.0,0.7143,0.666667,0.7143
Cli_39,2,1,1.0,0.4783,0.0,0.4783
Cli_7,2,1,1.0,0.1053,0.0,0.1053
Closure_100,2,1,1.0,0.1304,0.0,0.1304
Closure_103,2,1,1.0,1.0,1.0,1.0
Closure_105,2,1,1.0,0.1786,0.0,0.1786
Closure_106,2,1,1.0,1.0,1.0,1.0
Closure_108,4,6,1.0,0.10715,0.0,0.10715
Closure_110,6,15,0.990473,0.542853,0.333333,0.538433
Closure_115,2,1,1.0,0.3929,0.0,0.3929
Closure_116,2,1,1.0,0.0,0.0,0.0
Closure_117,2,1,0.0,0.08,0.0,0.0
Closure_134,6,15,0.993333,0.546667,0.333333,0.54
Closure_135,3,3,1.0,0.666667,0.666667,0.666667
Closure_136,2,1,0.9333,1.0,1.0,0.9333
Closure_137,10,45,0.97732,0.575229,0.511111,0.572844
Closure_138,3,3,1.0,0.7531,0.666667,0.7531
Closure_139,4,6,0.981483,0.06665,0.0,0.06665
Closure_140,3,3,0.904767,0.074067,0.0,0.0635
Closure_141,3,3,0.946667,0.6923,0.666667,0.6882
Closure_142,3,3,1.0,0.666667,0.666667,0.666667
Closure_143,2,1,1.0,1.0,1.0,1.0
Closure_144,9,36,0.996825,0.786667,0.75,0.783492
Closure_147,2,1,1.0,1.0,1.0,1.0
Closure_148,16,120,0.966153,0.272378,0.125,0.268578
Closure_149,7,21,0.986329,0.8227,0.809524,0.814833
Closure_151,3,3,1.0,0.0,0.0,0.0
Closure_153,12,66,0.99163,0.703761,0.484848,0.698483
Closure_154,6,15,0.976013,0.691033,0.6,0.667047
Closure_155,7,21,0.9807,0.737143,0.714286,0.723986
Closure_156,7,21,0.949205,0.1633,0.0,0.156038
Closure_157,7,21,0.989419,0.862957,0.761905,0.852376
Closure_158,11,55,0.965196,0.607709,0.563636,0.596227
Closure_16,2,1,1.0,0.4348,0.0,0.4348
Closure_160,2,1,1.0,0.0741,0.0,0.0741
Closure_162,6,15,0.969167,0.44928,0.333333,0.44502
Closure_163,18,153,0.976199,0.349106,0.111111,0.344119
Closure_164,2,1,1.0,0.0,0.0,0.0
Closure_165,10,45,0.956087,0.759256,0.711111,0.725791
Closure_167,6,15,1.0,0.566667,0.333333,0.566667
Closure_169,21,210,0.997619,0.839285,0.77619,0.838945
Closure_171,2,1,1.0,1.0,1.0,1.0
Closure_173,2,1,1.0,1.0,1.0,1.0
Closure_174,7,21,1.0,0.751729,0.666667,0.751729
Closure_175,4,6,1.0,0.160717,0.0,0.160717
Closure_176,3,3,1.0,0.2745,0.0,0.2745
Closure_21,2,1,1.0,0.2273,0.0,0.2273
Closure_24,2,1,1.0,0.6818,0.0,0.6818
Closure_25,2,1,1.0,0.1053,0.0,0.1053
Closure_26,3,3,1.0,0.0,0.0,0.0
Closure_27,3,3,1.0,0.2222,0.0,0.2222
Closure_29,3,3,1.0,0.0,0.0,0.0
Closure_3,3,3,1.0,0.1778,0.0,0.1778
Closure_30,4,6,1.0,0.597233,0.5,0.597233
Closure_32,4,6,0.977783,0.138867,0.0,0.13455
Closure_34,3,3,1.0,0.809533,0.666667,0.809533
Closure_37,2,1,1.0,1.0,1.0,1.0
Closure_39,2,1,1.0,0.619,0.0,0.619
Closure_4,2,1,0.0,0.3,0.0,0.0
Closure_41,2,1,0.7778,0.0,0.0,0.0
Closure_43,3,3,1.0,0.114267,0.0,0.114267
Closure_45,3,3,1.0,0.288867,0.0,0.288867
Closure_47,2,1,1.0,1.0,1.0,1.0
Closure_49,3,3,0.952367,0.194467,0.0,0.186533
Closure_50,2,1,1.0,0.1852,0.0,0.1852
Closure_51,2,1,1.0,0.1579,0.0,0.1579
Closure_53,2,1,1.0,0.0,0.0,0.0
Closure_54,3,3,1.0,0.8,0.666667,0.8
Closure_6,3,3,0.580967,0.266667,0.0,0.1257
Closure_60,2,1,1.0,0.1667,0.0,0.1667
Closure_64,2,1,1.0,0.2963,0.0,0.2963
Closure_68,3,3,1.0,0.2778,0.0,0.2778
Closure_72,2,1,1.0,1.0,1.0,1.0
Closure_74,2,1,1.0,0.0833,0.0,0.0833
Closure_75,2,1,1.0,0.1667,0.0,0.1667
Closure_76,4,6,0.986117,0.31035,0.0,0.304117
Closure_79,2,1,1.0,1.0,1.0,1.0
Closure_80,2,1,0.0,0.0,0.0,0.0
Closure_84,3,3,0.958333,0.0,0.0,0.0
Closure_85,3,3,0.933333,0.333333,0.0,0.325933
Closure_89,2,1,1.0,1.0,1.0,1.0
Closure_9,2,1,1.0,0.1739,0.0,0.1739
Closure_90,2,1,1.0,1.0,1.0,1.0
Closure_98,3,3,0.9608,0.0,0.0,0.0
Closure_99,2,1,1.0,0.2727,0.0,0.2727
Codec_1,3,3,1.0,1.0,1.0,1.0
Codec_11,7,21,0.965748,0.124224,0.0,0.12359
Codec_12,2,1,0.8621,0.0,0.0,0.0
Codec_13,3,3,0.973333,0.7,0.666667,0.673333
Codec_14,5,10,1.0,0.74444,0.7,0.74444
Codec_6,3,3,1.0,0.2424,0.0,0.2424
Codec_8,2,1,1.0,1.0,1.0,1.0
Collections_25,3,3,0.333333,0.3158,0.0,0.105267
Compress_10,2,1,1.0,0.0882,0.0,0.0882
Compress_11,2,1,1.0,0.0,0.0,0.0
Compress_2,6,15,0.938893,0.122827,0.0,0.119507
Compress_20,6,15,0.766667,0.24,0.0,0.184
Compress_22,7,21,0.857143,0.233743,0.0,0.190457
Compress_29,14,91,0.67033,0.931319,0.923077,0.601648
Compress_3,4,6,1.0,0.0,0.0,0.0
Compress_33,3,3,1.0,0.666667,0.666667,0.666667
Compress_34,2,1,1.0,0.2,0.0,0.2
Compress_35,2,1,1.0,0.4,0.0,0.4
Compress_39,2,1,1.0,0.1304,0.0,0.1304
Compress_4,4,6,1.0,1.0,1.0,1.0
Compress_40,3,3,0.9753,0.25,0.0,0.245367
Compress_42,2,1,1.0,1.0,1.0,1.0
Compress_43,4,6,1.0,0.21155,0.0,0.21155
Compress_47,3,3,1.0,0.186667,0.0,0.186667
Compress_6,2,1,1.0,0.1304,0.0,0.1304
Compress_9,2,1,1.0,0.12,0.0,0.12
Csv_13,2,1,1.0,1.0,1.0,1.0
Csv_16,4,6,0.94445,0.05555,0.0,0.049383
Csv_7,2,1,1.0,0.0,0.0,0.0
Csv_8,2,1,1.0,0.1667,0.0,0.1667
Gson_1,2,1,1.0,0.0,0.0,0.0
Gson_14,2,1,0.25,0.1875,0.0,0.0469
Gson_3,2,1,1.0,0.1613,0.0,0.1613
Gson_4,12,66,0.624459,0.529098,0.30303,0.407541
Gson_7,2,1,0.0,0.2353,0.0,0.0
Gson_8,5,10,0.7,0.0,0.0,0.0
Gson_9,3,3,0.791667,1.0,1.0,0.791667
JacksonCore_1,3,3,0.818167,0.7193,0.666667,0.6906
JacksonCore_10,2,1,1.0,0.25,0.0,0.25
JacksonCore_12,8,28,0.668196,0.350004,0.25,0.311982
JacksonCore_16,3,3,1.0,0.083333,0.0,0.083333
JacksonCore_17,3,3,0.9697,0.25,0.0,0.247133
JacksonCore_18,4,6,0.9,0.833333,0.833333,0.733333
JacksonCore_19,2,1,0.0,1.0,1.0,0.0
JacksonCore_2,8,28,0.842854,0.563486,0.535714,0.461104
JacksonCore_21,2,1,1.0,0.0,0.0,0.0
JacksonCore_22,7,21,0.952381,0.626381,0.0,0.586086
