bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Chart_2,0,1,0.1429,0.4444,0.0000,0.0635
Chart_4,0,1,1.0000,0.0000,0.0000,0.0000
Chart_14,0,1,0.0000,0.0000,0.0000,0.0000
Chart_14,0,2,0.0000,1.0000,1.0000,0.0000
Chart_14,0,3,0.0000,1.0000,1.0000,0.0000
Chart_14,1,2,0.0000,1.0000,1.0000,0.0000
Chart_14,1,3,0.0000,1.0000,1.0000,0.0000
Chart_14,2,3,0.0000,0.0000,0.0000,0.0000
Chart_15,0,1,0.6000,0.0909,0.0000,0.0545
Chart_16,0,1,1.0000,0.3913,0.0000,0.3913
Chart_18,0,1,1.0000,0.4000,0.0000,0.4000
Chart_18,0,2,1.0000,1.0000,1.0000,1.0000
Chart_18,1,2,1.0000,1.0000,1.0000,1.0000
Chart_19,0,1,0.0000,0.0000,0.0000,0.0000
Chart_21,0,1,1.0000,0.0000,0.0000,0.0000
Chart_21,0,2,1.0000,0.2000,0.0000,0.2000
Chart_21,1,2,0.9474,0.2000,0.0000,0.1895
Chart_22,0,1,1.0000,0.1364,0.0000,0.1364
Chart_22,0,2,1.0000,0.1364,0.0000,0.1364
Chart_22,0,3,1.0000,0.3636,0.0000,0.3636
Chart_22,1,2,0.9200,0.0000,0.0000,0.0000
Chart_22,1,3,0.9231,0.2273,0.0000,0.2098
Chart_22,2,3,1.0000,0.2273,0.0000,0.2273
Chart_25,0,1,1.0000,0.1364,0.0000,0.1364
Chart_25,0,2,0.5000,0.0000,0.0000,0.0000
Chart_25,0,3,0.0000,0.0000,0.0000,0.0000
Chart_25,0,4,1.0000,0.1364,0.0000,0.1364
Chart_25,0,5,0.5000,0.0000,0.0000,0.0000
Chart_25,1,2,1.0000,0.1364,0.0000,0.1364
Chart_25,1,3,1.0000,0.1364,0.0000,0.1364
Chart_25,1,4,0.0000,0.2727,0.0000,0.0000
Chart_25,1,5,1.0000,0.1364,0.0000,0.1364
Chart_25,2,3,0.5000,0.0000,0.0000,0.0000
Chart_25,2,4,1.0000,0.1364,0.0000,0.1364
Chart_25,2,5,0.0000,0.0000,0.0000,0.0000
Chart_25,3,4,1.0000,0.1364,0.0000,0.1364
Chart_25,3,5,0.5000,0.0000,0.0000,0.0000
Chart_25,4,5,1.0000,0.1364,0.0000,0.1364
Cli_1,0,1,1.0000,0.0714,0.0000,0.0714
Cli_1,0,2,1.0000,0.2143,0.0000,0.2143
Cli_1,0,3,1.0000,0.1429,0.0000,0.1429
Cli_1,0,4,1.0000,0.1429,0.0000,0.1429
Cli_1,0,5,1.0000,0.0000,0.0000,0.0000
Cli_1,0,6,1.0000,0.1429,0.0000,0.1429
Cli_1,0,7,1.0000,0.2143,0.0000,0.2143
Cli_1,0,8,1.0000,0.2143,0.0000,0.2143
Cli_1,0,9,1.0000,0.0000,0.0000,0.0000
Cli_1,1,2,1.0000,0.2857,0.0000,0.2857
Cli_1,1,3,1.0000,0.2143,0.0000,0.2143
