bug_id,hunk_count,divergence
Chart_2,2,0.0635
Chart_4,2,0.0000
Chart_14,4,0.0000
Chart_15,2,0.0545
Chart_16,2,0.3913
Chart_18,3,0.9143
Chart_19,2,0.0000
Chart_21,3,0.1298
Chart_22,4,0.1789
Chart_25,6,0.0727
Cli_1,10,0.2261
Cli_7,2,0.1053
Cli_10,2,0.1200
Cli_13,3,1.0000
Cli_14,2,0.1389
Cli_16,6,0.9512
Cli_18,3,0.2667
Cli_21,6,0.8898
Cli_22,7,0.3061
Cli_23,2,0.5238
Cli_26,2,0.5455
Cli_30,2,0.1000
Cli_31,3,1.0000
Cli_33,2,0.1304
Cli_34,2,1.0000
Cli_36,3,0.8776
Cli_39,2,0.4783
Closure_3,3,0.1778
Closure_4,2,0.0000
Closure_6,3,0.1257
Closure_9,2,0.1739
Closure_16,2,0.4348
Closure_21,2,0.2273
Closure_24,2,0.6818
Closure_25,2,0.1053
Closure_26,3,0.0000
Closure_27,3,0.2222
Closure_29,3,0.0000
Closure_30,4,0.7986
Closure_32,4,0.1346
Closure_34,3,0.9184
Closure_37,2,1.0000
Closure_39,2,0.6190
Closure_41,2,0.0000
Closure_43,3,0.1143
Closure_45,3,0.2889
Closure_47,2,1.0000
Closure_49,3,0.1865
Closure_50,2,0.1852
Closure_51,2,0.1579
Closure_53,2,0.0000
Closure_54,3,0.9143
Closure_60,2,0.1667
Closure_64,2,0.2963
Closure_68,3,0.2778
Closure_72,2,1.0000
Closure_74,2,0.0833
Closure_75,2,0.1667
Closure_76,4,0.3041
Closure_79,2,1.0000
Closure_80,2,0.0000
Closure_84,3,0.0000
Closure_85,3,0.3259
Closure_89,2,1.0000
Closure_90,2,1.0000
Closure_98,3,0.0000
Closure_99,2,0.2727
Closure_100,2,0.1304
Closure_103,2,1.0000
Closure_105,2,0.1786
Closure_106,2,1.0000
Closure_108,4,0.1071
Closure_110,6,0.7231
Closure_115,2,0.3929
Closure_116,2,0.0000
Closure_117,2,0.0000
Closure_134,6,0.7160
Closure_135,3,0.8571
Closure_136,2,0.9333
Closure_137,10,0.7888
Closure_138,3,0.8942
Closure_139,4,0.0667
Closure_140,3,0.0635
Closure_141,3,0.8664
Closure_142,3,0.8571
Closure_143,2,1.0000
Closure_144,9,0.9109
Closure_147,2,1.0000
Closure_148,16,0.4149
Closure_149,7,0.9237
Closure_151,3,0.0000
Closure_153,12,0.8428
Closure_154,6,0.8269
Closure_155,7,0.8755
Closure_156,7,0.1560
Closure_157,7,0.9331
Closure_158,11,0.7998
Closure_160,2,0.0741
Closure_162,6,0.6670
Closure_163,18,0.4615
Closure_164,2,0.0000
Closure_165,10,0.8604
Closure_167,6,0.7400
Closure_169,21,0.9369
Closure_171,2,1.0000
Closure_173,2,1.0000
Closure_174,7,0.8936
Closure_175,4,0.1607
Closure_176,3,0.2745
Codec_1,3,1.0000
Codec_6,3,0.2424
Codec_8,2,1.0000
Codec_11,7,0.1236
Codec_12,2,0.0000
Codec_13,3,0.8371
Codec_14,5,0.8935
Collections_25,3,0.1053
Compress_2,6,0.1195
Compress_3,4,0.0000
Compress_4,4,1.0000
Compress_6,2,0.1304
Compress_9,2,0.1200
Compress_10,2,0.0882
Compress_11,2,0.0000
Compress_20,6,0.1840
Compress_22,7,0.1905
Compress_29,14,0.6284
Compress_33,3,0.8571
Compress_34,2,0.2000
Compress_35,2,0.4000
Compress_39,2,0.1304
Compress_40,3,0.2454
Compress_42,2,1.0000
Compress_43,4,0.2115
Compress_47,3,0.1867
Csv_7,2,0.0000
Csv_8,2,0.1667
Csv_13,2,1.0000
Csv_16,4,0.0494
Gson_1,2,0.0000
Gson_3,2,0.1613
Gson_4,12,0.6257
Gson_7,2,0.0000
Gson_8,5,0.0000
Gson_9,3,0.7917
Gson_14,2,0.0469
JacksonCore_1,3,0.8674
JacksonCore_2,8,0.6410
JacksonCore_9,6,0.0000
JacksonCore_10,2,0.2500
JacksonCore_12,8,0.5413
JacksonCore_16,3,0.0833
JacksonCore_17,3,0.2472
JacksonCore_18,4,0.8250
JacksonCore_19,2,0.0000
JacksonCore_21,2,0.0000
JacksonCore_22,7,0.5861
JacksonCore_24,4,0.8971
JacksonDatabind_3,2,0.6842
JacksonDatabind_4,4,0.0000
JacksonDatabind_6,2,0.5499
JacksonDatabind_8,2,0.1613
JacksonDatabind_10,5,0.6517
JacksonDatabind_13,2,0.0000
JacksonDatabind_14,2,0.2000
JacksonDatabind_15,11,0.8411
JacksonDatabind_18,9,0.2047
JacksonDatabind_20,2,0.0000
JacksonDatabind_21,2,0.0000
JacksonDatabind_22,12,0.5432
