bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_file,avg_divergence
Chart_14,4,6,0.0,0.666667,0.666667,0.0
Chart_15,2,1,0.6,0.3931,0.0,0.2359
Chart_16,2,1,1.0,0.7245,0.0,0.7245
Chart_18,3,3,1.0,0.907233,0.666667,0.907233
Chart_19,2,1,0.0,0.0,0.0,0.0
Chart_2,2,1,0.1429,0.7846,0.0,0.1121
Chart_21,3,3,0.982467,0.333333,0.0,0.324567
Chart_22,4,6,0.97385,0.454633,0.0,0.447317
Chart_25,6,15,0.666667,0.27716,0.0,0.235787
Chart_4,2,1,1.0,0.0,0.0,0.0
Cli_1,10,45,0.986776,0.49418,0.0,0.488087
Cli_10,2,1,1.0,0.4255,0.0,0.4255
Cli_13,3,3,1.0,1.0,1.0,1.0
Cli_14,2,1,0.6667,0.5566,0.0,0.3711
Cli_16,6,15,1.0,0.866667,0.866667,0.866667
Cli_18,3,3,1.0,0.582533,0.0,0.582533
Cli_21,6,15,0.9942,0.780053,0.733333,0.774253
Cli_22,7,21,0.978838,0.614829,0.0,0.607776
Cli_23,2,1,1.0,0.8039,0.0,0.8039
Cli_26,2,1,1.0,0.7831,0.0,0.7831
Cli_30,2,1,0.1,1.0,1.0,0.1
Cli_31,3,3,1.0,1.0,1.0,1.0
Cli_33,2,1,1.0,0.4362,0.0,0.4362
Cli_34,2,1,1.0,1.0,1.0,1.0
Cli_36,3,3,1.0,0.8019,0.666667,0.8019
Cli_39,2,1,1.0,0.7819,0.0,0.7819
Cli_7,2,1,1.0,0.3667,0.0,0.3667
Closure_100,2,1,1.0,0.4362,0.0,0.4362
Closure_103,2,1,1.0,1.0,1.0,1.0
Closure_105,2,1,1.0,0.5321,0.0,0.5321
Closure_106,2,1,1.0,1.0,1.0,1.0
Closure_108,4,6,1.0,0.28895,0.0,0.28895
Closure_110,6,15,0.990473,0.688913,0.333333,0.681453
Closure_115,2,1,1.0,0.738,0.0,0.738
Closure_116,2,1,1.0,0.0,0.0,0.0
Closure_117,2,1,0.0,0.3372,0.0,0.0
Closure_134,6,15,0.993333,0.77756,0.333333,0.770893
Closure_135,3,3,1.0,0.666667,0.666667,0.666667
Closure_136,2,1,0.9333,1.0,1.0,0.9333
Closure_137,10,45,0.97732,0.696573,0.511111,0.687276
Closure_138,3,3,1.0,0.874667,0.666667,0.874667
Closure_139,4,6,0.981483,0.23435,0.0,0.23435
Closure_140,3,3,0.904767,0.277333,0.0,0.237733
Closure_141,3,3,0.946667,0.777767,0.666667,0.76
Closure_142,3,3,1.0,0.666667,0.666667,0.666667
Closure_143,2,1,1.0,1.0,1.0,1.0
Closure_144,9,36,0.996825,0.829181,0.75,0.826006
Closure_147,2,1,1.0,1.0,1.0,1.0
Closure_148,16,120,0.966153,0.504151,0.125,0.492388
Closure_149,7,21,0.986329,0.863833,0.809524,0.854052
Closure_151,3,3,1.0,0.0,0.0,0.0
Closure_153,12,66,0.99163,0.862767,0.484848,0.856002
Closure_154,6,15,0.976013,0.809487,0.6,0.7855
Closure_155,7,21,0.9807,0.78231,0.714286,0.769152
Closure_156,7,21,0.949205,0.508519,0.0,0.484238
Closure_157,7,21,0.989419,0.932248,0.761905,0.921667
Closure_158,11,55,0.965196,0.684276,0.563636,0.671302
Closure_16,2,1,1.0,0.7545,0.0,0.7545
Closure_160,2,1,1.0,0.3297,0.0,0.3297
Closure_162,6,15,0.969167,0.607373,0.333333,0.594973
Closure_163,18,153,0.976199,0.637873,0.111111,0.625545
Closure_164,2,1,1.0,0.0,0.0,0.0
Closure_165,10,45,0.956087,0.833898,0.711111,0.796944
Closure_167,6,15,1.0,0.792633,0.333333,0.792633
Closure_169,21,210,0.997619,0.916415,0.77619,0.915277
Closure_171,2,1,1.0,1.0,1.0,1.0
Closure_173,2,1,1.0,1.0,1.0,1.0
Closure_174,7,21,1.0,0.8474,0.666667,0.8474
Closure_175,4,6,1.0,0.48295,0.0,0.48295
Closure_176,3,3,1.0,0.656533,0.0,0.656533
Closure_21,2,1,1.0,0.5714,0.0,0.5714
Closure_24,2,1,1.0,0.8843,0.0,0.8843
Closure_25,2,1,1.0,0.4393,0.0,0.4393
Closure_26,3,3,1.0,0.0,0.0,0.0
Closure_27,3,3,1.0,0.514133,0.0,0.514133
Closure_29,3,3,1.0,0.0,0.0,0.0
Closure_3,3,3,1.0,0.521767,0.0,0.521767
Closure_30,4,6,1.0,0.715333,0.5,0.715333
Closure_32,4,6,0.977783,0.430617,0.0,0.417817
Closure_34,3,3,1.0,0.920567,0.666667,0.920567
Closure_37,2,1,1.0,1.0,1.0,1.0
Closure_39,2,1,1.0,0.8538,0.0,0.8538
Closure_4,2,1,0.0,0.6392,0.0,0.0
Closure_41,2,1,0.7778,0.0,0.0,0.0
Closure_43,3,3,1.0,0.362,0.0,0.362
Closure_45,3,3,1.0,0.6359,0.0,0.6359
Closure_47,2,1,1.0,1.0,1.0,1.0
Closure_49,3,3,0.952367,0.525567,0.0,0.501767
Closure_50,2,1,1.0,0.5377,0.0,0.5377
Closure_51,2,1,1.0,0.4628,0.0,0.4628
Closure_53,2,1,1.0,0.0,0.0,0.0
Closure_54,3,3,1.0,0.912,0.666667,0.912
Closure_6,3,3,0.580967,0.611933,0.0,0.328333
Closure_60,2,1,1.0,0.5218,0.0,0.5218
Closure_64,2,1,1.0,0.6594,0.0,0.6594
Closure_68,3,3,1.0,0.511867,0.0,0.511867
Closure_72,2,1,1.0,1.0,1.0,1.0
Closure_74,2,1,1.0,0.3413,0.0,0.3413
Closure_75,2,1,1.0,0.5218,0.0,0.5218
Closure_76,4,6,0.986117,0.661817,0.0,0.65105
Closure_79,2,1,1.0,1.0,1.0,1.0
Closure_80,2,1,0.0,0.0,0.0,0.0
Closure_84,3,3,0.958333,0.0,0.0,0.0
Closure_85,3,3,0.933333,0.620433,0.0,0.595567
Closure_89,2,1,1.0,1.0,1.0,1.0
Closure_9,2,1,1.0,0.5064,0.0,0.5064
Closure_90,2,1,1.0,1.0,1.0,1.0
Closure_98,3,3,0.9608,0.0,0.0,0.0
Closure_99,2,1,1.0,0.6206,0.0,0.6206
Codec_1,3,3,1.0,1.0,1.0,1.0
Codec_11,7,21,0.965748,0.347252,0.0,0.345124
Codec_12,2,1,0.8621,0.0,0.0,0.0
Codec_13,3,3,0.973333,0.801233,0.666667,0.774567
Codec_14,5,10,1.0,0.84367,0.7,0.84367
Codec_6,3,3,1.0,0.4672,0.0,0.4672
Codec_8,2,1,1.0,1.0,1.0,1.0
Collections_25,3,3,0.333333,0.6496,0.0,0.216533
Compress_10,2,1,1.0,0.3899,0.0,0.3899
Compress_11,2,1,1.0,0.0,0.0,0.0
Compress_2,6,15,0.938893,0.3548,0.0,0.343253
Compress_20,6,15,0.766667,0.5973,0.0,0.457927
Compress_22,7,21,0.857143,0.607743,0.0,0.5106
Compress_29,14,91,0.67033,0.933085,0.923077,0.603414
Compress_3,4,6,1.0,0.0,0.0,0.0
Compress_33,3,3,1.0,0.666667,0.666667,0.666667
Compress_34,2,1,1.0,0.5,0.0,0.5
Compress_35,2,1,1.0,0.736,0.0,0.736
Compress_39,2,1,1.0,0.4362,0.0,0.4362
Compress_4,4,6,1.0,1.0,1.0,1.0
Compress_40,3,3,0.9753,0.555133,0.0,0.543067
Compress_42,2,1,1.0,1.0,1.0,1.0
Compress_43,4,6,1.0,0.567,0.0,0.567
Compress_47,3,3,1.0,0.425467,0.0,0.425467
Compress_6,2,1,1.0,0.4362,0.0,0.4362
Compress_9,2,1,1.0,0.4255,0.0,0.4255
Csv_13,2,1,1.0,1.0,1.0,1.0
Csv_16,4,6,0.94445,0.208,0.0,0.1849
Csv_7,2,1,1.0,0.0,0.0,0.0
Csv_8,2,1,1.0,0.4708,0.0,0.4708
Gson_1,2,1,1.0,0.0,0.0,0.0
Gson_14,2,1,0.25,0.5565,0.0,0.1391
Gson_3,2,1,1.0,0.517,0.0,0.517
Gson_4,12,66,0.624459,0.759905,0.30303,0.514436
Gson_7,2,1,0.0,0.618,0.0,0.0
Gson_8,5,10,0.7,0.0,0.0,0.0
Gson_9,3,3,0.791667,1.0,1.0,0.791667
JacksonCore_1,3,3,0.818167,0.843733,0.666667,0.747133
JacksonCore_10,2,1,1.0,0.6045,0.0,0.6045
JacksonCore_12,8,28,0.668196,0.5821,0.25,0.450007
JacksonCore_16,3,3,1.0,0.258533,0.0,0.258533
JacksonCore_17,3,3,0.9697,0.5962,0.0,0.584167
JacksonCore_18,4,6,0.9,0.833333,0.833333,0.733333
JacksonCore_19,2,1,0.0,1.0,1.0,0.0
JacksonCore_2,8,28,0.842854,0.617986,0.535714,0.515604
JacksonCore_21,2,1,1.0,0.0,0.0,0.0
JacksonCore_22,7,21,0.952381,0.851762,0.0,0.806462
JacksonCore_24,4,6,0.979167,0.884067,0.666667,0.871133
JacksonCore_9,6,15,0.0,0.8,0.8,0.0
JacksonDatabind_10,5,10,0.87142,0.47062,0.4,0.45297
JacksonDatabind_103,26,325,0.990769,0.988473,0.966154,0.980778
JacksonDatabind_104,3,3,0.897733,0.5377,0.0,0.4804
JacksonDatabind_105,2,1,1.0,0.0,0.0,0.0
JacksonDatabind_108,2,1,1.0,0.4255,0.0,0.4255
JacksonDatabind_109,5,10,0.99565,0.6,0.6,0.6
JacksonDatabind_110,3,3,1.0,0.413733,0.0,0.413733
