model,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost
rq2-baseline/rq2/meta.llama3-1-405b-instruct-v1:0,1812139,169511,1981650,4.3491,0.2034,4.5525
rq2-baseline/rq2/mistral.mistral-7b-instruct-v0:2,1792045,296978,2089023,0.2688,0.0,0.2688
rq2-baseline/rq2/mistral.mistral-large-2402-v1:0,1794064,374251,2168315,7.1763,0.0,7.1763
rq2-baseline/rq2/mistral.mistral-large-2407-v1:0,1794064,326011,2120075,3.5881,0.489,4.0771
rq2-baseline/rq2/mistral.mixtral-8x7b-instruct-v0:1,1794064,258963,2053027,0.8073,0.0,0.8073
rq2-baseline/rq2/mode_4_model_gemini-2.5-flash-preview-04-17,1787672,162827,1950499,0.2682,0.0977,0.3658
rq2-baseline/rq2/mode_4_model_gpt-4.1-2025-04-14,1784827,349558,2134385,3.5697,2.7965,6.3661
rq2-baseline/rq2/mode_4_model_o4-mini-2025-04-16,1786834,303221,2090055,1.9655,1.3342,3.2997
rq2-baseline/rq2/us.amazon.nova-pro-v1:0,1786834,272265,2059099,1.4295,0.8712,2.3007
rq2-baseline/rq2/us.meta.llama3-2-90b-instruct-v1:0,1812139,316866,2129005,1.3047,0.1141,1.4188
rq2-baseline/rq2/us.meta.llama3-3-70b-instruct-v1:0,1812139,339744,2151883,1.3047,0.1223,1.427
rq3-retrieval/rq3/ada-ast_mode_4_model_o4-mini-2025-04-16,10830816,303251,11134067,11.9139,1.3343,13.2482
rq3-retrieval/rq3/ada-ast_us.meta.llama3-3-70b-instruct-v1:0,10850904,345161,11196065,7.8127,0.1243,7.9369
rq3-retrieval/rq3/ada-rag_mode_4_model_o4-mini-2025-04-16,5386734,304376,5691110,5.9254,1.3393,7.2647
rq3-retrieval/rq3/ada-rag_us.meta.llama3-3-70b-instruct-v1:0,5379136,349526,5728662,3.873,0.1258,3.9988
rq3-retrieval/rq3/ast_mode_4_model_o4-mini-2025-04-16,4669645,316510,4986155,5.1366,1.3926,6.5293
rq3-retrieval/rq3/ast_us.meta.llama3-3-70b-instruct-v1:0,4653688,354694,5008382,3.3507,0.1277,3.4783
rq3-retrieval/rq3/emb-ast_mode_4_model_o4-mini-2025-04-16,12397619,286940,12684559,13.6374,1.2625,14.8999
rq3-retrieval/rq3/emb-ast_us.meta.llama3-3-70b-instruct-v1:0,12454690,346508,12801198,8.9674,0.1247,9.0921
rq3-retrieval/rq3/emb-rag_mode_4_model_o4-mini-2025-04-16,6393298,305357,6698655,7.0326,1.3436,8.3762
rq3-retrieval/rq3/emb-rag_us.meta.llama3-3-70b-instruct-v1:0,5033676,349577,5383253,3.6242,0.1258,3.7501
rq3-retrieval/rq3/rag_mode_4_model_o4-mini-2025-04-16,6481603,302489,6784092,7.1298,1.331,8.4607
rq3-retrieval/rq3/rag_us.meta.llama3-3-70b-instruct-v1:0,6450248,346081,6796329,4.6442,0.1246,4.7688
rq4-context-scope/rq4/class_mode_4_model_o4-mini-2025-04-16,4285005,863652,5148657,4.7135,3.8001,8.5136
rq4-context-scope/rq4/class_us.meta.llama3-3-70b-instruct-v1:0,4275262,2015625,6290887,3.0782,0.7256,3.8038
rq4-context-scope/rq4/file_mode_4_model_o4-mini-2025-04-16,4416526,837787,5254313,4.8582,3.6863,8.5444
rq4-context-scope/rq4/file_us.meta.llama3-3-70b-instruct-v1:0,4420755,2359056,6779811,3.1829,0.8493,4.0322
rq4-context-scope/rq4/method_us.meta.llama3-3-70b-instruct-v1:0,1812139,339744,2151883,1.3047,0.1223,1.427
rq4-context-scope/rq4/mode_4_model_o4-mini-2025-04-16,1786834,303221,2090055,1.9655,1.3342,3.2997
rq5-feedback-loop/rq5/mode_4_model_o4-mini-2025-04-16,9959787,697731,10657518,10.9558,3.07,14.0258
rq5-feedback-loop/rq5/us.meta.llama3-3-70b-instruct-v1:0,10145190,926984,11072174,7.3045,0.3337,7.6383
